Tipo nave (agrupado),TRG,Puerto origen,Puerto destino,Agencia,Sitio,Línea naviera,Servicio,service_time_hours,Calado arribo,Calado diff,covid_era,atraque_hour_sin,atraque_hour_cos,atraque_dayofweek_sin,atraque_dayofweek_cos,atraque_month_sin,atraque_month_cos
Container,95138,CALLAO,LIRQUEN,96566940-k - AGUNSA,Sitio 1,ONE,AX2,30.08333333333333,10.0,1.95,pre,0.0,-1.0,0.433884,-0.900969,0.5,0.866025
Liquid Bulk,15659,MEJILLONES,MEJILLONES,80992000-3 - ULTRAMAR,Sitio 3,ULTRAGAS,CABOTAJE,40.083333333333336,7.0,-3.35,pre,1.0,0.0,-0.433884,-0.900969,0.5,0.866025
General Cargo,12980,other_origins,SAN VICENTE,82728500-5 - IAN TAYLOR,Sitio 4/5,BBC,USA,20.866666666666667,6.9,0.15,pre,-1.0,-0.0,-0.781831,0.62349,0.5,0.866025
Passenger,121878,PUERTO MONTT,PUERTO MONTT,91256000-7 - A.J.BROOM,Sitio 4/5,NON-LINER,NO SERVICE,18.916666666666668,8.0,0.0,pre,0.707107,0.707107,-0.781831,0.62349,0.5,0.866025
Passenger,32477,PUERTO MONTT,PUERTO MONTT,78610880-2 - INCHCAPE,Sitio 4/5,NON-LINER,NO SERVICE,10.866666666666667,6.55,0.0,pre,1.0,0.0,-0.781831,0.62349,0.5,0.866025
Passenger,91627,COQUIMBO,PUERTO MONTT,78610880-2 - INCHCAPE,Sitio 4/5,NON-LINER,NO SERVICE,34.0,7.95,-0.2,pre,0.866025,0.5,-0.781831,0.62349,0.5,0.866025
Container,94017,CALLAO,CORONEL,96707720-8 - MSC,Sitio 4/5,MSC,SAWC-USA-NWC,24.85,8.95,1.9,pre,-0.707107,-0.707107,0.0,1.0,0.5,0.866025
Dry Bulk,34492,SAN LORENZO,PATILLOS,80010900-0 - AGENTAL,Sitio 8,NON-LINER,NO SERVICE,81.25,10.1,4.6,pre,-0.258819,0.965926,0.0,1.0,0.5,0.866025
Container,90532,CALLAO,HONG KONG,96566940-k - AGUNSA,Sitio 2,YANG MING,WSA6,33.166666666666664,10.45,0.45,pre,1.0,0.0,0.0,1.0,0.5,0.866025
Passenger,61396,PUERTO MONTT,PUERTO MONTT,78610880-2 - INCHCAPE,Sitio 4/5,NON-LINER,NO SERVICE,47.75,7.7,0.0,pre,-0.5,-0.866025,0.974928,-0.222521,0.5,0.866025
Container,6406,LIRQUEN,PUNTA ARENAS,80992000-3 - ULTRAMAR,Sitio 3,other_liners,CABOTAJE,19.916666666666668,5.1,-1.5,pre,0.965926,-0.258819,0.781831,0.62349,0.5,0.866025
Vehicle Carrier,58288,IQUIQUE,other_destinations,96566940-k - AGUNSA,Sitio 4/5,HYUNDAI GLOVIS INC.,CAR CARRIERS,18.05,8.3,0.7,pre,-0.866025,0.5,0.781831,0.62349,0.5,0.866025
Container,95138,CORONEL,ANGAMOS,96566940-k - AGUNSA,Sitio 1,ONE,AX2,15.916666666666666,9.55,-1.55,pre,1.0,0.0,0.974928,-0.222521,0.5,0.866025
Vehicle Carrier,60213,other_origins,CALLAO,82728500-5 - IAN TAYLOR,Sitio 4/5,EUKOR,CAR CARRIERS,30.166666666666668,8.55,0.6,pre,-0.258819,-0.965926,0.0,1.0,0.5,0.866025
Vehicle Carrier,62106,MONTEVIDEO,CALLAO,78610880-2 - INCHCAPE,Sitio 4/5,NON-LINER,NO SERVICE,6.716666666666667,8.25,0.1,pre,0.965926,-0.258819,0.781831,0.62349,0.5,0.866025
Vehicle Carrier,39422,IQUIQUE,NAGOYA - AICHI,96566940-k - AGUNSA,Sitio 4/5,KLINE,SHINNANSEIKAI,9.466666666666669,7.0,0.0,pre,-0.707107,0.707107,0.781831,0.62349,0.5,0.866025
Container,91649,LIRQUEN,MANZANILLO - MX,80925100-4 - SOMARCO,Sitio 1,COSCO GROUP,WSA3,25.25,10.9,0.1,pre,0.965926,0.258819,-0.974928,-0.222521,0.5,0.866025
Dry Bulk,23587,SAN LORENZO,PATILLOS,96566940-k - AGUNSA,Sitio 4/5,other_liners,other_services,108.0,9.75,4.65,pre,0.0,-1.0,0.0,1.0,0.5,0.866025
Container,95256,ANGAMOS,CALLAO,82728500-5 - IAN TAYLOR,Sitio 4/5,CMA CGM,Eurosal,42.75,9.95,-0.2,pre,-0.707107,0.707107,0.974928,-0.222521,0.5,0.866025
Container,21018,LIRQUEN,CALLAO,80992000-3 - ULTRAMAR,Sitio 2,EVERGREEN,PWS,16.083333333333332,8.95,-0.05,pre,0.965926,-0.258819,0.974928,-0.222521,0.5,0.866025
Container,116603,LIRQUEN,MANZANILLO - MX,80925100-4 - SOMARCO,Sitio 1,COSCO GROUP,WSA3,25.666666666666668,11.2,-0.3,pre,0.866025,0.5,-0.781831,0.62349,0.5,0.866025
Container,140096,CALLAO,CORONEL,96707720-8 - MSC,Sitio 1,MSC,Andes,41.16666666666666,11.35,2.15,pre,1.0,0.0,0.433884,-0.900969,0.5,0.866025
Dry Bulk,25546,SAN LORENZO,PATILLOS,80010900-0 - AGENTAL,Sitio 8,NON-LINER,NO SERVICE,77.95,9.85,3.85,pre,0.866025,-0.5,-0.433884,-0.900969,0.5,0.866025
Container,65059,SANTOS - SP,CALLAO,80992000-3 - ULTRAMAR,Sitio 2,HAPAG-LLOYD CHILE SPA,SERVICIO CONOSUR / ABAC,31.33333333333333,13.45,1.15,pre,0.965926,-0.258819,-0.974928,-0.222521,0.5,0.866025
Container,6385,LIRQUEN,PUNTA ARENAS,80992000-3 - ULTRAMAR,Sitio 2,TRANSMARES,CABOTAJE SUR,14.0,4.2,-2.6,pre,-0.5,-0.866025,-0.781831,0.62349,0.5,0.866025
Dry Bulk,22852,SAN LORENZO,VALPARAISO,78986820-4 - B&M,Sitio 8,NON-LINER,NO SERVICE,93.33333333333331,10.2,4.3,pre,-0.707107,-0.707107,0.0,1.0,0.5,0.866025
Container,118945,MEJILLONES,CALLAO,80992000-3 - ULTRAMAR,Sitio 4/5,HAPAG-LLOYD CHILE SPA,Eurosal,41.0,9.45,0.65,pre,-0.707107,0.707107,0.974928,-0.222521,0.5,0.866025
Container,86679,CALLAO,HONG KONG,80992000-3 - ULTRAMAR,Sitio 1,EVERGREEN,WSA,32.083333333333336,11.8,0.8,pre,0.965926,0.258819,0.0,1.0,0.5,0.866025
Dry Bulk,32987,ROSARIO,BALBOA,80992000-3 - ULTRAMAR,Sitio 8,NON-LINER,NO SERVICE,81.83333333333333,10.0,4.25,pre,0.258819,0.965926,-0.974928,-0.222521,0.5,0.866025
Dry Bulk,31756,other_origins,CORONEL,80992000-3 - ULTRAMAR,Sitio 4/5,NON-LINER,NO SERVICE,63.0,11.7,3.4,pre,-0.258819,0.965926,-0.974928,-0.222521,0.5,0.866025
Container,91051,CALLAO,HONG KONG,80925100-4 - SOMARCO,Sitio 1,COSCO GROUP,WSA,34.0,10.15,0.35,pre,1.0,0.0,0.781831,0.62349,0.5,0.866025
Liquid Bulk,15659,MEJILLONES,MEJILLONES,80992000-3 - ULTRAMAR,Sitio 3,ULTRAGAS,CABOTAJE,17.5,6.25,0.0,pre,0.258819,-0.965926,0.0,1.0,0.5,0.866025
Vehicle Carrier,37237,LIANYUNGANG,CALLAO,80925100-4 - SOMARCO,Sitio 4/5,NON-LINER,NO SERVICE,14.333333333333334,7.85,0.9,pre,-0.5,-0.866025,0.0,1.0,0.5,0.866025
Liquid Bulk,14965,QUINTERO,HOUSTON - TX,78986820-4 - B&M,Sitio 9,NON-LINER,NO SERVICE,16.383333333333333,8.0,2.0,pre,0.965926,-0.258819,0.433884,-0.900969,0.5,0.866025
Dry Bulk,23462,SAN LORENZO,SAN LORENZO,80010900-0 - AGENTAL,Sitio 8,NON-LINER,NO SERVICE,67.0,10.0,5.1,pre,0.0,-1.0,0.781831,0.62349,0.5,0.866025
Liquid Bulk,26329,QUINTERO,SAN VICENTE,80010900-0 - AGENTAL,Sitio 3,NON-LINER,NO SERVICE,14.0,9.95,0.15,pre,-0.965926,0.258819,0.974928,-0.222521,0.5,0.866025
Container,140096,LIRQUEN,MEJILLONES,96707720-8 - MSC,Sitio 1,MSC,Andes,56.91666666666666,11.6,-1.35,pre,1.0,0.0,0.974928,-0.222521,0.5,0.866025
Passenger,91740,PUERTO MONTT,PUERTO MONTT,78610880-2 - INCHCAPE,Sitio 4/5,NON-LINER,NO SERVICE,12.333333333333334,7.35,-1.05,pre,1.0,0.0,-0.974928,-0.222521,0.5,0.866025
Dry Bulk,23587,SAN LORENZO,PATILLOS,96566940-k - AGUNSA,Sitio 4/5,other_liners,other_services,14.85,9.75,4.65,pre,-0.866025,0.5,-0.974928,-0.222521,0.5,0.866025
Passenger,61214,COQUIMBO,other_destinations,78610880-2 - INCHCAPE,Sitio 4/5,NON-LINER,NO SERVICE,9.916666666666666,8.1,0.0,pre,0.965926,-0.258819,0.974928,-0.222521,0.5,0.866025
Vehicle Carrier,55680,IQUIQUE,ULSAN,82728500-5 - IAN TAYLOR,Sitio 4/5,EUKOR,CAR CARRIERS,17.1,7.35,0.35,pre,-0.866025,0.5,-0.781831,0.62349,0.5,0.866025
Dry Bulk,35503,ANTOFAGASTA,LIRQUEN,80992000-3 - ULTRAMAR,Sitio 4/5,G2 OCEAN (G2O),other_services,70.75,6.7,0.2,pre,0.965926,0.258819,0.433884,-0.900969,0.5,0.866025
Container,113042,CALLAO,LIRQUEN,96566940-k - AGUNSA,Sitio 1,ONE,AX2,27.316666666666663,10.8,1.8,pre,0.0,1.0,-0.974928,-0.222521,0.5,0.866025
Container,118945,MEJILLONES,CALLAO,80992000-3 - ULTRAMAR,Sitio 4/5,HAPAG-LLOYD CHILE SPA,Eurosal,23.666666666666668,7.95,-1.7,pre,-0.5,0.866025,-0.433884,-0.900969,0.5,0.866025
Vehicle Carrier,71177,CALLAO,IQUIQUE,96566940-k - AGUNSA,Sitio 4/5,KLINE,ALEX,17.583333333333332,8.8,0.55,pre,-1.0,-0.0,-0.974928,-0.222521,0.5,0.866025
Container,39106,SANTOS - SP,CALLAO,80992000-3 - ULTRAMAR,Sitio 2,HAPAG-LLOYD CHILE SPA,SERVICIO CONOSUR / ABAC,15.083333333333334,12.1,-0.2,pre,0.258819,0.965926,-0.781831,0.62349,0.5,0.866025
Container,6406,LIRQUEN,PUNTA ARENAS,80992000-3 - ULTRAMAR,Sitio 2,TRANSMARES,CABOTAJE SUR,19.25,5.05,-1.2,pre,-0.965926,0.258819,0.974928,-0.222521,0.5,0.866025
Container,113042,LIRQUEN,ANGAMOS,96566940-k - AGUNSA,Sitio 1,ONE,AX2,23.666666666666668,11.55,-1.2,pre,0.965926,-0.258819,0.433884,-0.900969,0.5,0.866025
Dry Bulk,24196,BAHIA BLANCA,other_destinations,78986820-4 - B&M,Sitio 8,NON-LINER,NO SERVICE,65.66666666666667,10.0,5.0,pre,0.866025,-0.5,-0.433884,-0.900969,0.5,0.866025
Container,22801,IQUIQUE,CALLAO,80992000-3 - ULTRAMAR,Sitio 1,EVERGREEN,PWS,11.583333333333334,8.2,0.55,pre,0.866025,-0.5,0.974928,-0.222521,0.5,0.866025
Dry Bulk,23405,CALLAO,SAN ANTONIO - CL,78986820-4 - B&M,Sitio 4/5,NON-LINER,NO SERVICE,87.76666666666667,9.9,4.85,pre,-0.965926,-0.258819,-0.781831,0.62349,0.5,0.866025
Dry Bulk,25546,NEW ORLEANS INT. APT,VALPARAISO,78986820-4 - B&M,Sitio 8,NON-LINER,NO SERVICE,42.91666666666666,8.4,2.6,pre,0.707107,0.707107,0.0,1.0,0.5,0.866025
Vehicle Carrier,59760,MANTA,IQUIQUE,96566940-k - AGUNSA,Sitio 4/5,HYUNDAI GLOVIS INC.,CAR CARRIERS,23.966666666666665,9.1,0.65,pre,0.0,-1.0,0.781831,0.62349,0.5,0.866025
Vehicle Carrier,57623,IQUIQUE,other_destinations,78610880-2 - INCHCAPE,Sitio 4/5,other_liners,CAR CARRIERS,28.58333333333333,8.2,1.175,pre,-0.866025,0.5,0.433884,-0.900969,0.5,0.866025
Dry Bulk,23587,PATILLOS,PUERTO MONTT,96566940-k - AGUNSA,Sitio 3,other_liners,other_services,128.58333333333334,9.55,2.1,pre,0.5,-0.866025,-0.433884,-0.900969,0.5,0.866025
Dry Bulk,33010,ROSARIO,PANAMA CITY,80992000-3 - ULTRAMAR,Sitio 4/5,NON-LINER,NO SERVICE,11.0,10.57,5.19,pre,0.965926,-0.258819,-0.781831,0.62349,0.866025,0.5
Dry Bulk,33010,ROSARIO,PANAMA CITY,80992000-3 - ULTRAMAR,Sitio 8,NON-LINER,NO SERVICE,134.66666666666666,10.57,5.19,pre,0.258819,0.965926,0.0,1.0,0.866025,0.5
Container,141635,CALLAO,CORONEL,96707720-8 - MSC,Sitio 1,MSC,Andes,46.66666666666666,11.65,1.1,pre,-0.707107,0.707107,0.974928,-0.222521,0.5,0.866025
Dry Bulk,25546,NEW ORLEANS INT. APT,VALPARAISO,78986820-4 - B&M,Sitio 8,NON-LINER,NO SERVICE,58.0,8.4,2.6,pre,-0.5,-0.866025,-0.433884,-0.900969,0.5,0.866025
Container,75246,CALLAO,HONG KONG,80992000-3 - ULTRAMAR,Sitio 1,NON-LINER,NO SERVICE,31.0,11.55,-0.25,pre,1.0,0.0,0.0,1.0,0.5,0.866025
Container,6385,LIRQUEN,PUNTA ARENAS,80992000-3 - ULTRAMAR,Sitio 2,TRANSMARES,CABOTAJE SUR,16.916666666666668,5.75,0.05,pre,-0.5,-0.866025,0.974928,-0.222521,0.5,0.866025
Container,118945,MEJILLONES,CALLAO,80992000-3 - ULTRAMAR,Sitio 4/5,HAPAG-LLOYD CHILE SPA,Eurosal,42.41666666666666,9.35,-0.125,pre,-0.258819,-0.965926,0.433884,-0.900969,0.5,0.866025
Container,65059,ANTOFAGASTA,SAN VICENTE,80992000-3 - ULTRAMAR,Sitio 2,HAPAG-LLOYD CHILE SPA,SERVICIO CONOSUR / ABAC,26.75,9.8,0.0,pre,-1.0,-0.0,-0.974928,-0.222521,0.866025,0.5
Dry Bulk,23405,CALLAO,SAN ANTONIO - CL,78986820-4 - B&M,C2,NON-LINER,NO SERVICE,41.45,9.9,4.85,pre,0.707107,-0.707107,-0.974928,-0.222521,0.866025,0.5
Vehicle Carrier,59583,ZARATE,IQUIQUE,80992000-3 - ULTRAMAR,Sitio 4/5,MOL,NASS,11.6,8.945,0.495,pre,0.965926,-0.258819,-0.974928,-0.222521,0.866025,0.5
Liquid Bulk,13425,MEJILLONES,MEJILLONES,80992000-3 - ULTRAMAR,Sitio 3,ULTRAGAS,CABOTAJE,35.416666666666664,5.95,-3.85,pre,0.258819,-0.965926,0.433884,-0.900969,0.5,0.866025
Vehicle Carrier,60876,CALLAO,other_destinations,82728500-5 - IAN TAYLOR,Sitio 4/5,EUKOR,CAR CARRIERS,18.633333333333333,8.0,0.7,pre,0.866025,-0.5,-0.433884,-0.900969,0.866025,0.5
Container,39106,SANTOS - SP,CALLAO,80992000-3 - ULTRAMAR,Sitio 1,HAPAG-LLOYD CHILE SPA,SERVICIO CONOSUR / ABAC,35.083333333333336,10.25,-0.165,pre,-0.707107,0.707107,-0.433884,-0.900969,0.5,0.866025
Container,39905,ARICA,PUERTO MADRYN,82728500-5 - IAN TAYLOR,Sitio 2,ALIANCA,NEW ANDES,19.916666666666668,10.0,0.0,pre,-0.707107,0.707107,0.433884,-0.900969,0.5,0.866025
Container,53481,SANTOS - SP,CALLAO,82728500-5 - IAN TAYLOR,Sitio 2,ALIANCA,NEW ANDES,26.08333333333333,10.5,0.0,pre,-0.707107,0.707107,-0.433884,-0.900969,0.5,0.866025
Liquid Bulk,11615,MEJILLONES,MEJILLONES,80992000-3 - ULTRAMAR,Sitio 3,ULTRAGAS,CABOTAJE,33.083333333333336,4.75,-4.5,pre,-0.866025,-0.5,-0.781831,0.62349,0.5,0.866025
Dry Bulk,23440,SAN LORENZO,PATILLOS,96566940-k - AGUNSA,Sitio 4/5,NON-LINER,NO SERVICE,41.583333333333336,9.79,4.7,pre,0.258819,-0.965926,0.0,1.0,0.5,0.866025
Container,43628,CALLAO,BALBOA,82728500-5 - IAN TAYLOR,Sitio 4/5,MAERSK LINE,CLX,25.916666666666668,8.5,-0.5,pre,1.0,0.0,0.974928,-0.222521,0.5,0.866025
Container,66452,LIRQUEN,MANZANILLO - MX,80925100-4 - SOMARCO,Sitio 1,COSCO GROUP,WSA3,21.0,11.55,0.25,pre,1.0,0.0,-0.974928,-0.222521,0.5,0.866025
Vehicle Carrier,58767,IQUIQUE,NAGOYA - AICHI,96566940-k - AGUNSA,Sitio 4/5,NYK,SHINNANSEIKAI,6.866666666666666,8.1,0.25,pre,-0.707107,0.707107,0.0,1.0,0.5,0.866025
Vehicle Carrier,59030,IQUIQUE,ZARATE,96566940-k - AGUNSA,Sitio 4/5,KLINE,SHINNANSEIKAI,8.666666666666666,8.15,0.35,pre,1.0,0.0,0.433884,-0.900969,0.5,0.866025
Liquid Bulk,14965,QUINTERO,HOUSTON - TX,78986820-4 - B&M,Sitio 3,NON-LINER,NO SERVICE,8.016666666666667,8.0,2.0,pre,-0.258819,0.965926,-0.433884,-0.900969,0.5,0.866025
Container,43628,CALLAO,BALBOA,82728500-5 - IAN TAYLOR,Sitio 4/5,MAERSK LINE,CLX,30.166666666666668,9.2,-0.8,pre,0.0,1.0,0.433884,-0.900969,0.866025,0.5
Container,43628,CALLAO,BALBOA,82728500-5 - IAN TAYLOR,Sitio 4/5,MAERSK LINE,CLX,43.68333333333333,9.25,-1.75,pre,0.965926,-0.258819,0.974928,-0.222521,0.866025,0.5
Container,141649,CALLAO,CORONEL,96707720-8 - MSC,Sitio 1,MSC,Andes,47.5,12.0,2.6,pre,-0.707107,0.707107,0.974928,-0.222521,0.866025,0.5
Container,92198,MEJILLONES,TAURANGA,82728500-5 - IAN TAYLOR,Sitio 1,MAERSK LINE,699/ AC3,62.583333333333336,10.25,-0.05,pre,-0.5,-0.866025,-0.974928,-0.222521,0.866025,0.5
Container,141649,LIRQUEN,MEJILLONES,96707720-8 - MSC,Sitio 1,MSC,Andes,20.83333333333333,11.85,-1.85,pre,0.866025,-0.5,0.974928,-0.222521,0.866025,0.5
Container,92198,ANGAMOS,TAURANGA,82728500-5 - IAN TAYLOR,Sitio 1,MAERSK LINE,699/ AC3,28.33333333333333,10.4,1.55,pre,0.866025,-0.5,-0.974928,-0.222521,0.866025,0.5
Container,141649,CALLAO,CORONEL,96707720-8 - MSC,Sitio 1,MSC,Andes,43.833333333333336,11.0,2.3,pre,0.965926,-0.258819,0.433884,-0.900969,0.866025,0.5
Container,92198,CALLAO,TAURANGA,82728500-5 - IAN TAYLOR,Sitio 1,MAERSK LINE,699/ AC3,49.11666666666667,10.1,0.25,pre,-0.5,-0.866025,-0.781831,0.62349,0.866025,0.5
Container,92198,MEJILLONES,TAURANGA,82728500-5 - IAN TAYLOR,Sitio 1,MAERSK LINE,699/ AC3,40.833333333333336,12.1,0.3,pre,1.0,0.0,-0.781831,0.62349,1.0,0.0
Container,39905,SANTOS - SP,CALLAO,82728500-5 - IAN TAYLOR,Sitio 2,ALIANCA,NEW ANDES,17.916666666666668,11.4,-0.1,pre,-0.5,0.866025,-0.433884,-0.900969,0.866025,0.5
Vehicle Carrier,61106,IQUIQUE,SANTOS - SP,82728500-5 - IAN TAYLOR,Sitio 4/5,WWO,WCSA,8.616666666666667,8.6,0.25,pre,-0.707107,0.707107,-0.974928,-0.222521,0.866025,0.5
Container,53481,ANTOFAGASTA,SAN VICENTE,82728500-5 - IAN TAYLOR,Sitio 1,ALIANCA,NEW ANDES,21.416666666666668,10.15,-1.05,pre,0.965926,-0.258819,-0.781831,0.62349,0.866025,0.5
Container,43628,CALLAO,BALBOA,82728500-5 - IAN TAYLOR,Sitio 4/5,MAERSK LINE,CLX,44.766666666666666,10.5,-0.4,pre,0.258819,0.965926,0.974928,-0.222521,0.866025,0.5
Vehicle Carrier,65276,IQUIQUE,ULSAN,82728500-5 - IAN TAYLOR,Sitio 4/5,EUKOR,CAR CARRIERS,17.25,8.2,0.4,pre,-0.866025,0.5,-0.781831,0.62349,0.866025,0.5
Liquid Bulk,11773,BARQUITO,MEJILLONES,80992000-3 - ULTRAMAR,Sitio 4/5,ULTRAGAS,CABOTAJE,33.833333333333336,4.755,-5.15,pre,0.0,-1.0,0.433884,-0.900969,0.5,0.866025
Container,43628,CALLAO,BALBOA,82728500-5 - IAN TAYLOR,Sitio 4/5,MAERSK LINE,CLX,33.416666666666664,9.5,-0.8,pre,-0.258819,0.965926,0.781831,0.62349,0.866025,0.5
Container,53481,SANTOS - SP,CALLAO,82728500-5 - IAN TAYLOR,Sitio 1,ALIANCA,NEW ANDES,23.916666666666668,12.05,0.55,pre,1.0,0.0,0.781831,0.62349,0.866025,0.5
Container,39905,SANTOS - SP,CALLAO,82728500-5 - IAN TAYLOR,Sitio 2,ALIANCA,NEW ANDES,23.666666666666668,11.75,0.0,pre,0.965926,0.258819,-0.781831,0.62349,1.0,0.0
Container,140096,LIRQUEN,MEJILLONES,96707720-8 - MSC,Sitio 1,MSC,Andes,24.83333333333333,11.6,-1.6,pre,0.965926,0.258819,0.974928,-0.222521,0.866025,0.5
Container,92198,ANGAMOS,HONG KONG,82728500-5 - IAN TAYLOR,Sitio 1,MAERSK LINE,699/ AC3,78.16666666666667,11.35,-0.7,pre,-0.866025,-0.5,-0.781831,0.62349,0.866025,0.5
Passenger,91627,PUERTO MONTT,PUERTO MONTT,78610880-2 - INCHCAPE,Sitio 4/5,NON-LINER,NO SERVICE,18.8,7.925,-0.025,pre,0.866025,0.5,0.433884,-0.900969,0.866025,0.5
Passenger,92822,COQUIMBO,PUERTO MONTT,78610880-2 - INCHCAPE,Sitio 4/5,NON-LINER,NO SERVICE,53.15,8.1,0.0,pre,0.965926,-0.258819,0.0,1.0,0.866025,0.5
Container,76067,CALLAO,HONG KONG,80992000-3 - ULTRAMAR,Sitio 1,EVERGREEN,WSA,59.53333333333333,12.05,-0.45,pre,0.5,-0.866025,0.0,1.0,0.866025,0.5
Container,21018,IQUIQUE,CALLAO,80992000-3 - ULTRAMAR,Sitio 2,EVERGREEN,PWS,14.416666666666666,7.9,0.0,pre,0.965926,0.258819,0.433884,-0.900969,0.866025,0.5
Container,40741,LIRQUEN,MANZANILLO - MX,80925100-4 - SOMARCO,Sitio 2,COSCO GROUP,WSA3,16.416666666666668,11.1,-0.2,pre,0.0,1.0,-0.974928,-0.222521,0.866025,0.5
Vehicle Carrier,50309,MONTEVIDEO,CALLAO,96566940-k - AGUNSA,Sitio 4/5,HYUNDAI GLOVIS INC.,CAR CARRIERS,11.983333333333333,7.6,0.2,pre,0.258819,0.965926,0.433884,-0.900969,0.866025,0.5
Dry Bulk,23440,SAN LORENZO,PATILLOS,96566940-k - AGUNSA,Sitio 4/5,NON-LINER,NO SERVICE,15.316666666666666,9.79,4.7,pre,-0.5,-0.866025,0.433884,-0.900969,0.866025,0.5
Dry Bulk,9978,SAN VICENTE,MEJILLONES,80992000-3 - ULTRAMAR,Sitio 3,NON-LINER,NO SERVICE,12.25,7.1,0.005,pre,0.707107,0.707107,0.433884,-0.900969,0.866025,0.5
